 14240| 45.903766|-59.737620| 5.12|  137.6|F|Hor
 14293| 46.068655| -7.600899| 5.26|  140.5|A|Eri
 14328| 46.199126| 53.506450| 2.91|  256.7|G|Per
 14354| 46.293738| 38.840533| 3.32|  326.0|K|Per
 14376| 46.361197| 25.255199| 5.45|  402.5|B|Ari
 14576| 47.042207| 40.955651| 2.09|   92.9|B|Per
 14632| 47.262014| 49.613500| 4.05|   34.4|B|Per
 14668| 47.373455| 44.857889| 3.79|  112.0|F|Per
 14677| 47.403032| 29.077112| 5.74| 1124.1|B|Ari
 14817| 47.822506| 39.611571| 4.61|  304.7|A|Per
 14838| 47.906957| 19.726698| 4.35|  168.0|F|Ari
 14879| 48.017833|-28.989106| 3.80|   46.0|A|For
 14954| 48.193015| -1.195933| 5.07|   72.9|F|Cet
 15110| 48.725478| 21.044629| 4.87|  339.6|G|Ari
 15197| 48.958445| -8.819840| 4.80|  119.9|A|Eri
 15201| 48.988992|-77.388605| 5.51|   95.9|G|Hyi
 15330| 49.435288|-62.576899| 5.53|   39.5|K|Ret
 15338| 49.447216| 44.025082| 5.49|  639.2|A|Per
 15371| 49.546404|-62.507935| 5.24|   39.4|A|Ret
 15382| 49.592065|-22.511150| 4.86|  254.7|G|Eri
 15383| 49.592828| -0.930141| 5.62|  221.8|B|Cet
 15404| 49.657170| 50.222235| 5.16|  525.8|A|Per
 15444| 49.781744| 50.095028| 5.05|  479.4|B|Per
 15457| 49.839745|  3.369971| 4.84|   29.9|K|Cet
 15474| 49.879040|-21.757942| 3.70|  258.7|K|Eri
 15514| 49.982554| 27.071307| 5.91|  205.0|F|Ari
 15547| 50.081585| 77.734901| 5.44|  262.9|K|Cep
 15619| 50.278211|  3.675681| 5.70|  291.1|K|Cet
 15627| 50.306712| 21.147141| 5.27|  459.2|B|Ari
 15648| 50.360863| 43.329652| 4.96|  155.2|K|Per
 15696| 50.549544| 27.607577| 5.55|  958.8|G|Ari
 15737| 50.688634| 20.742105| 5.10|  319.6|F|Ari
 15861| 51.076937| 24.724188| 5.50|  229.6|F|Ari
 15863| 51.080619| 49.861243| 1.79|  592.7|G|Per
 15900| 51.203490|  9.029065| 3.61|  211.7|G|Tau
 16083| 51.792170|  9.732772| 3.73|  221.8|F|Tau
 16112| 51.889024|-35.681339| 5.71|  465.7|F|For
 16244| 52.341793| 49.509019| 4.67|  562.1|A|Per
 16245| 52.342444|-62.938434| 4.71|   70.0|B|Ret
 16322| 52.601983| 11.336481| 5.14|  417.9|A|Tau
 16335| 52.643676| 47.995172| 4.36|  354.3|F|Per
 16341| 52.654374| -5.075163| 4.74|  379.1|K|Eri
 16369| 52.718196| 12.936682| 4.14|  358.2|A|Tau
 16499| 53.109601| 46.057043| 5.30|  118.5|A|Per
 16511| 53.149708|  9.373558| 5.76|  354.3|A|Tau
 16537| 53.235090| -9.458306| 3.72|   10.5|A|Eri
 16611| 53.446866|-21.632816| 4.26|  296.4|K|Eri
 16664| 53.610930| 24.464475| 5.95|  517.5|A|Tau
 16803| 54.072467|-17.467041| 5.24|  472.5|F|Eri
 16826| 54.122334| 48.192701| 4.32|  693.6|K|Per
 16852| 54.218829|  0.402833| 4.29|   44.7|B|Tau
 17027| 54.754690| -5.625707| 5.97|  114.8|K|Eri
 17103| 54.963099|  3.056843| 5.55|  402.5|B|Tau
 17167| 55.159721| -5.210697| 5.53|  740.9|K|Eri
 17304| 55.562080|-31.938396| 4.99|  724.4|A|For
 17309| 55.578937| 19.700286| 5.68|  407.5|G|Tau
 17313| 55.594348| 33.965039| 4.97|  931.4|B|Per
 17358| 55.731175| 47.787653| 3.01|  525.8|M|Per
 17378| 55.812317| -9.765199| 3.52|   29.5|B|Eri
 17440| 56.048145|-64.807094| 3.84|   99.7|K|Ret
 17448| 56.079693| 32.288273| 3.84| 1481.8|K|Per
 17457| 56.127117| -1.163078| 5.24|  652.0|F|Eri
 17489| 56.200842| 24.289577| 5.45|  332.7|A|Tau
 17499| 56.218848| 24.113448| 3.72|  370.5|G|Tau
 17506| 56.235261| -0.296716| 5.56|  350.5|M|Eri
 17527| 56.290528| 24.839373| 5.66|  366.3|B|Tau
 17529| 56.298514| 42.578544| 3.77|  552.5|K|Per
 17531| 56.302009| 24.467379| 4.30|  370.5|F|Tau
 17563| 56.418460|  6.050029| 5.34|  592.7|K|Tau
 17573| 56.456638| 24.367858| 3.87|  358.2|M|Tau
 17579| 56.476933| 24.554621| 5.76|  388.1|B|Tau
 17593| 56.535427|-12.101735| 4.43|  493.9|B|Eri
 17608| 56.581501| 23.948462| 4.14|  358.2|G|Tau
 17618| 56.614266|-29.338166| 5.91|  329.3|K|For
 17651| 56.712454|-23.248438| 4.22|   58.4|B|Eri
 17678| 56.809298|-74.239243| 3.26|  214.5|B|Hyi
 17702| 56.871101| 24.105242| 2.85|  366.3|K|Tau
